waveplate_angle,diode_current
224.5,N/A
N/A,5.90E-09
225,N/A
N/A,6.33E-09
N/A,5.95E-09
225.5,N/A
N/A,6.17E-09
226,N/A
N/A,6.00E-09
N/A,5.97E-09
226.5,N/A
N/A,6.01E-09
227,N/A
N/A,6.10E-09
N/A,6.04E-09
227.5,N/A
N/A,6.02E-09
228,N/A
N/A,5.75E-09
N/A,5.77E-09
228.5,N/A
N/A,5.75E-09
229,N/A
N/A,5.77E-09
N/A,5.60E-09
229.5,N/A
N/A,5.82E-09
230,N/A
N/A,5.61E-09
N/A,5.47E-09
230.5,N/A
N/A,5.52E-09
231,N/A
N/A,5.36E-09
N/A,5.29E-09
231.5,N/A
N/A,5.19E-09
232,N/A
N/A,5.16E-09
N/A,5.12E-09
232.5,N/A
N/A,5.18E-09
233,N/A
N/A,5.09E-09
233.5,N/A
N/A,4.86E-09
N/A,5.05E-09
234,N/A
N/A,4.81E-09
234.5,N/A
N/A,4.70E-09
N/A,4.76E-09
235,N/A
N/A,4.68E-09
235.5,N/A
N/A,4.48E-09
N/A,4.56E-09
236,N/A
N/A,4.45E-09
236.5,N/A
N/A,4.37E-09
N/A,4.39E-09
237,N/A
N/A,4.24E-09
237.5,N/A
N/A,4.21E-09
N/A,4.18E-09
238,N/A
N/A,3.95E-09
238.5,N/A
N/A,4.04E-09
N/A,3.90E-09
239,N/A
N/A,3.83E-09
239.5,N/A
N/A,3.73E-09
N/A,3.68E-09
240,N/A
N/A,3.72E-09
240.5,N/A
N/A,3.62E-09
N/A,3.60E-09
241,N/A
N/A,3.58E-09
241.5,N/A
N/A,3.49E-09
242,N/A
N/A,3.55E-09
N/A,3.49E-09
242.5,N/A
N/A,3.42E-09
243,N/A
N/A,3.35E-09
N/A,3.31E-09
243.5,N/A
N/A,3.30E-09
244,N/A
N/A,3.31E-09
N/A,3.32E-09
244.5,N/A
N/A,3.31E-09
245,N/A
N/A,3.19E-09
N/A,3.25E-09
245.5,N/A
N/A,3.21E-09
246,N/A
N/A,3.22E-09
N/A,3.20E-09
246.5,N/A
N/A,3.14E-09
247,N/A
N/A,3.09E-09
N/A,3.17E-09
247.5,N/A
N/A,3.15E-09
247.99,N/A
N/A,3.18E-09
N/A,3.26E-09
248.5,N/A
N/A,3.20E-09
249,N/A
N/A,3.27E-09
N/A,3.24E-09
249.5,N/A
N/A,3.29E-09
250,N/A
N/A,3.31E-09
250.5,N/A
N/A,3.42E-09
N/A,3.43E-09
251,N/A
N/A,3.44E-09
251.5,N/A
N/A,3.54E-09
N/A,3.56E-09
252,N/A
N/A,3.60E-09
